token,value_de,value_en
access.choice.remote,Zugangswahl Remote,Access choice remote
access.method,Access Method,Access Method
access.method.ip,Access Method IP,Access Method IP
access.point.type,Access Point Type,Access Point Type
address.type,Art der Adresse,Address Type
authority,Autorität,Authority
category.a.f,Kategorie A - F,Category A-F
cluster.role,Cluster Role,Cluster Role
cluster.type,Cluster Type,Cluster Type
combo.status,Combo Status,Combo Status
combo.type,Combo Type,Combo Type
concurrent.access,SimUser,Concurrent Access
confidentiality,Vertraulichkeit Auswahl,Confidentiality Choice
contact.content.type,Kontakttyp,Type of Contact
contact.type,Art des Kontaktes,Contact Type
core.status,Kerntitel-Status,Core Status
cost.configuration,Kostenkonfiguration,Cost configuration
cost.item.category,CostItemCategory,CostItemCategory
cost.item.element,CostItemElement,CostItemElement
cost.item.status,CostItemStatus,CostItemStatus
cost.item.type,Typ,Type
country,Land,Country
creator.type,Creator Type,Creator Type
currency,Währung,Currency
customer.identifier.type,Kategorie der Kundennummer,Customer Identifier Type
document.context.status,Document Context Status,Document Context Status
document.type,Dokumenttyp,Document Type
dbs.subject.group, DBS Fächergruppe, DBS Subject Group
existence,Vorliegen,Existence
external.internal,Extern und intern,External and internal
fact.metric,FactMetric,FactMetric
fact.type,FactType,FactType
filter.fake.values,filter.fake.values,filter.fake.values
funder.type,Trägerschaft,Funder Type
funder.hsk.type,Trägerschaft,Funder Type HSK
gender,Geschlecht,Gender
ie.accept.status,IE Accept Status,IE Accept Status
ie.access.status,IE Access Status,IE Access Status
ie.medium,IEMedium,IEMedium
ill.code,Fernleihindikator,Ill code
indemnification,Entschädigung Auswahl,Indemnification Choice
invoicing,Rechnungsstellung,Invoicing
ipv4.address.format,IPv4 Address Format,IPv4 Address Format
ipv6.address.format,IPv6 Address Format,IPv6 Address Format
language,Sprache,Language
library.network,Verbundzugehörigkeit,Library Network
library.type,Bibliothekstyp,Library Type
license.arc.archival.copy.content,Archivkopie Form,Archival Copy Content
license.arc.archival.copy.cost,Archivkopie Kosten,Archival Copy Cost
license.arc.archival.copy.time,Archivkopie Zeitpunkt,Archival Copy Time
license.arc.archival.copy.transmission.format,Archivkopie Übermittlungsformat,Archival Copy Transmission Format
license.arc.authorized,Hostingrecht Berechtigte,Hosting Authorized
license.arc.hosting.restriction,Hostingrecht Einschränkung,Hosting Restriction
license.arc.hosting.solution,Hostingrecht Lösung,Hosting Solution
license.arc.hosting.time,Hostingrecht Zeitpunkt,Hosting Time
license.arc.payment.note,Zugriffsrechte Kosten,Archive Payment Note
license.arc.title.transfer.regulation,Titeltransfer Regeln,Titletransfer Regulation
license.category,Vertragskategorie,LicenseCategory
license.oa.corresponding.author.identification,Autorenindentifikation,Corresponding Author Identification
license.oa.earc.version,License.OA.eArcVersion,License.OA.eArcVersion
license.oa.license.to.publish,Publikationslizenz,License to Publish
license.oa.receiving.modalities,Bezugsmodalitäten,Receiving Modalities
license.oa.repository,Repositorium,Repository
license.oa.type,Open Access Typ,Open Access Type
license.remote.access,License.RemoteAccess,License.RemoteAccess
license.remote.access2,Remote-Zugriff,Remote Access
license.statistics.delivery,Statistik Liefermethode,Statistics Delivery
license.statistics.format,Statistik Auslieferungsformat,Statistics Format
license.statistics.frequency,Statistik Auslieferungsfrequenz,Statistics Frequency
license.statistics.standards,Statistikstandard,Statistics Standards
license.statistics.user.creds,Statistik Nutzeridentifikation,Statistics User Credentials
license.status,Vertragsstatus,License Status
license.structure,Vertragskonstruktion,License Structure
license.type,Lizenztyp,License Type
link.type,Link Type,Link Type
mail.template.language,MailTemplate Sprache,MailTemplate Language
mail.template.type,MailTemplate Typ,MailTemplate Type
number.type,Zahlen-Typ,Number Type
org.sector,Bereich,OrgSector
org.status,Status,Status
org.type,Organisationstyp,Organisation Type
organisational.role,Organisational Role,Organisational Role
package.breakable,Package.Breakable,Package.Breakable
package.consistent,Package.Consistent,Package.Consistent
package.fixed,Package.Fixed,Package.Fixed
package.list.status,Package.ListStatus,Package.ListStatus
package.scope,Package.Scope,Package.Scope
package.status,Paketstatus,Package Status
package.type,Package.Type,Package.Type
package.content.type,Package Content Type,Package Content Type
pending.change.status,PendingChangeStatus,PendingChangeStatus
pending.change.configuration.setting,Änderungseinstellung,Pending Change Configuration Setting
permissions,Berechtigungen,Permissions
person.contact.type,Kontaktart,Person: Contact Type
person.function,Funktion,Person Function
person.position,Position,Person Position
person.responsibility,Verantwortlich,Person Responsibility
platform.status,Platform Status,Platform Status
regions.at,Österreichische Länder,States of Austria
regions.de,Bundesländer Deutschlands,Federal States of Germany
regions.ch,Kantone der Schweiz,Cantons of Switzerland
reminder.method,ReminderMethod,ReminderMethod
reminder.trigger,ReminderTrigger,ReminderTrigger
reminder.unit,ReminderUnit,ReminderUnit
semester,Semester,Semester
share.configuration,Share Configuration,Share Configuration
sim.user.number,Sim User Zahl,Sim-User Number
subjectgroup,Fächergruppe,Subject Group
subscription.form,Lizenzform,Subscription Form
subscription.resource,Ressourcentyp,Resource type
subscription.status,Lizenzstatus,Subscription Status
subscription.type,Subscription Type,Subscription Type
subscription.kind,Lizenzart,Subscription Kind
survey.status,Umfrage-Status,Survey Status
survey.type,Umfrage-Typ,Survey Type
task.priority,Aufgabenpriorität,Task Priority
task.status,Aufgabenstatus,Task Status
tax.type,TaxType,TaxType
termination.condition,Kündigung Voraussetzung,Termination Condition
ticket.category,Kategorie,Ticket Category
ticket.status,Ticketstatus,Ticket Status
tipp.access.status,TIPP Access Status,TIPP Access Status
tipp.delayed.oa,TitleInstancePackagePlatform.DelayedOA,TitleInstancePackagePlatform.DelayedOA
tipp.hybrid.oa,TitleInstancePackagePlatform.HybridOA,TitleInstancePackagePlatform.HybridOA
tipp.payment.type,TitleInstancePackagePlatform.PaymentType,TitleInstancePackagePlatform.PaymentType
tipp.status,TIPP Status,TIPP Status
tipp.status.reason,Tipp.StatusReason,Tipp.StatusReason
title.status,TitleInstanceStatus,TitleInstanceStatus
title.type,Title Type,Title Type
transform.format,Transform Format,Transform Format
transform.type,Transform Type,Transform Type
usage.status,UsageStatus,UsageStatus
user.setting.dashboard.tab,Dashbord Tab,Dashboard Tab
user.setting.theme,Theme,Theme
y.n,Ja/Nein,Yes/No
y.n.o,Ja/Nein/Anderes,Yes/No/Others
y.n.u,Ja/Nein/Unbekannt,Yes/No/Unknown
