ns,name_de,description_de,name_en,description_en,ns_type,url_prefix,is_unique,is_hidden,validation_regex
Anbieter_Produkt_ID,Anbieter-Produkt-ID,"Interne, eindeutige ID der Anbieter für die eigenen Pakete.","Provider-product-ID","Internal unique ID of provider for the own packages.",de.laser.Subscription,,false,false,
Anbieter_Produkt_ID,Anbieter-Produkt-ID,"Interne, eindeutige ID der Anbieter für die eigenen Pakete.","Provider-product-ID","Internal unique ID of provider for the own packages.",de.laser.Package,,false,false,
crossref funder id,Crossref Funder ID,,Crossref Funder ID,,de.laser.Org,,false,false,[1-9]\\d+
DBS-ID,DBS-ID,ID in der Deutschen und Österreichischen Bibliotheksstatistik (DBS/ÖBS) (https://www.bibliotheksstatistik.de/).,DBS-ID,ID in the German and Austrian library statistic (DBS/ÖBS) (https://www.bibliotheksstatistik.de/).,de.laser.Org,,false,false,
dbis_org_id,DBIS-Organisations-ID,"ID Ihrer Bibliothek oder Einrichtung im DBIS System, typischerweise ein Kürzel mit mehreren Buchstaben, z.B. 'ub_r'. Derzeit z.B. über die URL der eigenen Einrichtung auslesbar.",DBIS organisation ID,"ID of your library or organisation in the DBIS system, typically an abbreviation with several letters, e.g. 'ub_r'. It may be read off currently from the URL of your own institution for example.",de.laser.Org,https://dbis.ur.de//fachliste.php?bib_id=,true,false,
dbis_res_id,DBIS-Ressourcen-ID,"ID für eine Datenbank oder allgemein Ressource im DBIS-System, die Sie z.B. mit einer Lizenz verknüpfen können.",DBIS resource ID,"ID for a database or generally a resource in the DBIS system what you may link to a subscription for example.",de.laser.Subscription,https://dbis.uni-regensburg.de/frontdoor.php?titel_id=,false,false,
dbpedia,DBpedia,,DBpedia,,de.laser.Org,,false,false,
DNB_ID,DNB-ID,Identifikator der Deutschen Nationalbibliothek.,DNB-ID,Identifier of the German National Library (DNB).,de.laser.Subscription,http://d-nb.info/,false,false,
eissn,E-ISSN,Internationale Standardnummer(n) für fortlaufende Sammelwerke.,E-ISSN,International standard number(s) for continued series.,de.laser.Subscription,,false,false,
eduPersonEntitlement,Entitlement KfL-Portal,das Shibboleth-Entitlement,Entitlement KfL portal,the Shibboleth entitlement,de.laser.Subscription,,false,false,
ezb_anchor,EZB-Anker,"EZB-Anker werden von Konsortialverwaltern für deren jeweilige angelegte Kollektionen vergeben, um so die genaue Lizenzeinheit abbilden zu können.",EZB anchor,EZB anchors are distributed by consortia managers for their respective collections in order to represent the subscription unit.,,,false,false,
