token,value_de,value_en
access.choice.remote,Zugangswahl Remote,Access choice remote
access.limitation,Zugangsbegrenzung,Access limitation
access.point.type,Access Point Type,Access Point Type
accessibility.compliance,Accessibility Compliance,Grad der Barrierefreiheit
address.type,Art der Adresse,Address Type
agreement,Zustimmung,Agreement
archiving.agency,Archivierungsplattform,Archiving Agency
authority,Autorität,Authority
billingTime, Rechnungzeitpunkt, Time of billing
calendar.quarter,Kalender Quartal,Calendar Quarter
category.a.f,Preiskategorie Beck,Price category Beck
category.bautabellen,Preiskategorie Bautabellen,Price category Bautabellen
category.detail.inspiration,Preiskategorie DETAIL inspiration,Price category DETAIL inspiration
category.euromonitor,Preiskategorie Euromonitor,Price category Euromonitor
category.igi,Preiskategorie IGI InfoSci Journals,Price category IGI InfoSci Journals
category.meinUnterricht,Preiskategorie meinUnterricht,Price meinUnterricht
category.inside.din,Preiskategorie Inside DIN,Price Inside DIN
category.juris,Preiskategorie juris,Price category juris
category.pnas,Preiskategorie PNAS,Price category PNAS
category.scientific.net.rup,Preiskategorie Scientific.Net RuP,Price category Scientific.Net RuP
category.scopus,Preiskategorie Scopus,Price category Scopus
category.total.materia,Preiskategorie Total Materia,Price category Total Materia
category.ullmans,Preiskategorie Ullmann's,Price category Ullmann's
category.unwto,Preiskategorie UNWTO,Price category UNWTO
category.world.bank,Preiskategorie World Bank,Price category World Bank
choice.option.letter,Auswahloption (Buchstabe),Choice option (letter)
choice.option.number,Auswahloption (Ziffer),Choice option (number)
combo.status,Combo Status,Combo Status
combo.type,Combo Type,Combo Type
concurrent.access,SimUser,Concurrent Access
confidentiality,Vertraulichkeit Auswahl,Confidentiality Choice
contact.content.type,Kontakttyp,Type of Contact
contact.type,Art des Kontaktes,Contact Type
content.option.asme,Gewählte Inhaltsoption ASME DC,Chosen content option ASME DC
content.option.asme.addition,Gewählte Inhaltsoption ASME DC Zuwahl,Chosen content option ASME DC Archive
content.option.asme.addition.new,Gewählte Inhaltsoption ASME DC Zuwahl NEU,Chosen content option ASME DC Zuwahl NEU
content.option.london.journals,Gewählte Inhaltsoption RS London Journals,Chosen content option RS London Journals
cost.configuration,Kostenkonfiguration,Cost configuration
cost.information.availability.book,Informationsversorgungskosten Bücher,TODO ERMS-6310
cost.information.availability.database,Informationsversorgungskosten Datenbanken,TODO ERMS-6310
cost.information.availability.ill,Informationsversorgungskosten für Fernleihe oder Dokumentlieferung,TODO ERMS-6310
cost.information.availability.journal,Informationsversorgungskosten Zeitschriften (nur lesen),TODO ERMS-6310
cost.information.availability.other,Informationsversorgungskosten sonstige Medien oder Dienste,TODO ERMS-6310
cost.information.contracts.contractual,Rahmenvertrag technisch-inhaltlich,TODO ERMS-6310
cost.information.contracts.library,Überregionale bibliothekarische Dienste,TODO ERMS-6310
cost.information.contracts.membership,Institutionelle Mitgliedschaften in Verbünden oder erstattungsfähige persönliche Mitgliedschaften in Berufsverbänden o. ä.,TODO ERMS-6310
cost.information.personnel.infrastructure,Personal Betrieb Infrastrukturen,TODO ERMS-6310
cost.information.personnel.service,Serviceangebote und Workflows,TODO ERMS-6310
cost.information.publication.book,Publikationskosten Bücher,TODO ERMS-6310
cost.information.publication.journal,Publikationskosten Zeitschriftenartikel,TODO ERMS-6310
cost.information.publication.other,Publikationskosten Sonstiges,TODO ERMS-6310
cost.information.service.editor,"Universitätsverlag (Betrieb und Wartung technisch, ggf. Anschaffung)",TODO ERMS-6310
cost.information.service.hardware,"Bibliotheksausstattung und -hardware (Anschaffung, Betrieb, Wartung technisch)",TODO ERMS-6310
cost.information.service.infrastructure,"Infrastrukturen (Betrieb und Wartung technisch, ggf. Anschaffung)",TODO ERMS-6310
cost.information.service.software,Software,TODO ERMS-6310
cost.information.source.own,Eigenmittel der Einrichtung,TODO ERMS-6310
cost.information.source.central,Zentrale Drittmittel (DM),TODO ERMS-6310
cost.information.source.decentral,Dezentrale Drittmittel,TODO ERMS-6310
cost.item.category,CostItemCategory,CostItemCategory
cost.item.element,CostItemElement,CostItemElement
cost.item.status,CostItemStatus,CostItemStatus
cost.item.type,Typ,Type
country,Land,Country
coverage.depth,Umfang,Coverage depth
curatory.group.type,Kuratorengruppentyp,CuratoryGroup Type
currency,Währung,Currency
customer.identifier.type,Kategorie der Kundennummer,Customer Identifier Type
dbs.subject.group,DBS Fächergruppe,DBS Subject Group
ddc,Dewey-Dezimalklassifikation,Dewey Decimal Classification
delivery.edit.status,Status Bearbeitung,Delivery edit status
delivery.status,Status Lieferungen,Delivery status
discovery.group.frontend,Discovery-Systeme: Frontend,Discovery systems: frontend
discovery.group.index,Discovery-Systeme: Index,Discovery systems: index
document.confidentiality,Vertraulichkeit,Confidentiality
document.context.status,Document Context Status,Document Context Status
document.type,Dokumenttyp,Document Type
e.invoice.portal,eRechnungs Portal,eInvoice Portal
existence,Vorliegen,Existence
external.internal,Extern und intern,External and internal
fact.metric,FactMetric,FactMetric
fact.type,FactType,FactType
filter.fake.values,filter.fake.values,filter.fake.values
funder.type,Trägerschaft,Funder Type
funder.hsk.type,Trägerschaft,Funder Type HSK
gender,Geschlecht,Gender
ie.access.status,IE Access Status,IE Access Status
ie.medium,IEMedium,IEMedium
ill.code,Fernleihindikator,Ill code
indemnification,Entschädigung Auswahl,Indemnification Choice
invoicing,Rechnungsstellung,Invoicing
invoice.interval,Rechnungsintervall,Invoicing interval
invoice.processing,Rechnungsabwicklung,Invoice Processing
ip.authentication,IP-Authentifizierung,IP Authentication
ipv4.address.format,IPv4 Address Format,IPv4 Address Format
ipv6.address.format,IPv6 Address Format,IPv6 Address Format
kfl.advisor,KfL-Betreuer,KfL advisor
language,Sprache,Language
language.iso,Sprache nach ISO 639-2,Language according to ISO 639-2
library.network,Verbundzugehörigkeit,Library Network
library.type,Bibliothekstyp,Library Type
license.arc.archival.copy.content,Archivkopie Form,Archival Copy Content
license.arc.archival.copy.cost,Archivkopie Kosten,Archival Copy Cost
license.arc.archival.copy.time,Archivkopie Zeitpunkt,Archival Copy Time
license.arc.archival.copy.transmission.format,Archivkopie Übermittlungsformat,Archival Copy Transmission Format
license.arc.authorized,Hostingrecht Berechtigte,Hosting Authorized
license.arc.hosting.restriction,Hostingrecht Einschränkung,Hosting Restriction
license.arc.hosting.solution,Hostingrecht Lösung,Hosting Solution
license.arc.hosting.time,Hostingrecht Zeitpunkt,Hosting Time
license.arc.payment.note,Zugriffsrechte Kosten,Archive Payment Note
license.arc.title.transfer.regulation,Titeltransfer Regeln,Titletransfer Regulation
license.category,Vertragskategorie,LicenseCategory
license.content,Vertrag: Inhaltsdaten,License: content data
license.metadata,Vertrag: Metadaten,License: metadata
license.oa.corresponding.author.identification,Autorenindentifikation,Corresponding Author Identification
license.oa.earc.version,License.OA.eArcVersion,License.OA.eArcVersion
license.oa.license.to.publish,Publikationslizenz,License to Publish
license.oa.receiving.modalities,Bezugsmodalitäten,Receiving Modalities
license.oa.repository,Repositorium,Repository
license.oa.type,Open Access Typ,Open Access Type
license.remote.access,License.RemoteAccess,License.RemoteAccess
license.remote.access2,Remote-Zugriff,Remote Access
license.statistics.delivery,Statistik Liefermethode,Statistics Delivery
license.statistics.format,Statistik Auslieferungsformat (Vertrag),Statistics Format (License)
license.statistics.frequency,Statistik Auslieferungsfrequenz (Vertrag),Statistics Frequency (License)
license.statistics.standards,Statistikstandard,Statistics Standards
license.statistics.user.creds,Statistik Nutzeridentifikation,Statistics User Credentials
license.status,Vertragsstatus,License Status
license.structure,Vertragskonstruktion,License Structure
link.type,Link Type,Link Type
mail.template.language,MailTemplate Sprache,MailTemplate Language
mail.template.type,MailTemplate Typ,MailTemplate Type
mail.status,Mail Status, Mail Status
mail.type, Mail Type, Mail Type
number.type,Zahlen-Typ,Number Type
oa.content.receiver,OA-Inhalte Empfänger,OA content receiver
oa.author.identification,OA Autorenidentifikation,OA author identification
oa.publishing.timespan,OA Publikation Zeitspanne,OA publishing timespan
oa.publishing.report.delivery,OA Publikations-Report Lieferweg,OA publishing report delivery
oa.responsible.party,OA Zuständigkeit,OA responsible party
oa.time.moment,OA relevanter Zeitpunkt,OA relevant time moment
org.type,Organisationstyp,Organisation Type
organisational.role,Organisational Role,Organisational Role
package.breakable,Package.Breakable,Package.Breakable
package.consistent,Package.Consistent,Package.Consistent
package.file,Package.File,Package.File
package.list.status,Package.ListStatus,Package.ListStatus
package.scope,Package.Scope,Package.Scope
package.status,Paketstatus,Package Status
package.type,Package.Type,Package.Type
package.content.type,Package Content Type,Package Content Type
payment.type,Payment Type,Payment Type
pending.change.status,PendingChangeStatus,PendingChangeStatus
pending.change.configuration.setting,Änderungseinstellung,Pending Change Configuration Setting
permissions,Berechtigungen,Permissions
person.contact.type,Kontaktart,Person: Contact Type
person.function,Funktion,Person Function
person.position,Position,Person Position
person.responsibility,Verantwortlich,Person Responsibility
platform.status,Platform Status,Platform Status
provider.status,Anbieter-Status,Provider Status
provider.link.type,Verknüpfungstyp (Anbieter/Library Supplier),Link type (provider/library supplier)
publish.option,Publishoption,publish option
regions.at,Österreichische Länder,States of Austria
regions.de,Bundesländer Deutschlands,Federal States of Germany
regions.ch,Kantone der Schweiz,Cantons of Switzerland
reminder.method,ReminderMethod,ReminderMethod
reminder.trigger,ReminderTrigger,ReminderTrigger
reminder.unit,ReminderUnit,ReminderUnit
reporting.contact.type,Art des Kontaktes,Contact Type
semester,Semester,Semester
share.configuration,Share Configuration,Share Configuration
shibboleth.federation,Shibboleth Federation,Shibboleth Federation
sim.user.number,Sim User Zahl,Sim-User Number
sis.access.extensions,FID - Zugriffserweiterungen / -ergänzungen, SIS - access extensions / completions
sis.access.kind,FID - Art der erworbenen Zugriffsrechte,SIS - kind of purchased access rights
sis.authentication,FID-Authentifizierung,SIS authentication
sis.business.model.base,FID-Geschäftsmodell - Grundtyp,SIS business model - base type
sis.business.model.attr1,FID-Geschäftsmodell - Attribute_1,SIS business model - Attribute_1
sis.business.model.attr2,FID-Geschäftsmodell - Attribute_2,SIS business model - Attribute_2
sis.cost.sharing,FID - Kostenbeteiligung,SIS - cost sharing
sis.hosting,FID-Hosting,SIS hosting
sis.license.status,FID-Vertragsstatus,SIS license status
sis.pricing.model,FID-Preismodell,SIS pricing model
sis.product.type,FID - Produktart,SIS product type
sis.proof,FID-Nachweis,SIS proof
sis.proxy.config.status,FID-Proxykonfig-Status,SIS proxy config status
sis.rejection.reason,FID - Grund für Nichtzustandekommen,SIS - rejection reason
sis.user.group,FID-Nutzerkreis,SIS user group
sis.user.group.base,FID-Nutzerkreismodell - Grundtyp,SIS user group model - base type
sis.user.group.attr1,FID-Nutzerkreismodell - Attribute_1,SIS user group model - Attribute_1
sis.user.group.attr2,FID-Nutzerkreismodell - Attribute_2,SIS user group model - Attribute_2
sound.quality,Klangqualität,Sound quality
platform.statistics.format,Statistik Auslieferungsformat (Plattform),Statistics Format (Platform)
platform.statistics.frequency,Statistik Auslieferungsfrequenz (Plattform),Statistics Frequency (Platform)
subjectgroup,Fächergruppe,Subject Group
subscription.form,Lizenzform,Subscription Form
subscription.form.ullmans,Lizenzmodell Ullmann's,Subscription Form Ullmann's
subscription.holding,Paketzuschnitt,Holding Selection
subscription.resource,Ressourcentyp,Resource type
subscription.status,Lizenzstatus,Subscription Status
subscription.type,Subscription Type,Subscription Type
subscription.kind,Lizenzart,Subscription Kind
survey.status,Umfrage-Status,Survey Status
survey.type,Umfrage-Typ,Survey Type
survey.property.participation,Teilnahme (mit Antwortoptionen),Participation (with response options)
task.priority,Aufgabenpriorität,Task Priority
task.status,Aufgabenstatus,Task Status
tax.type,TaxType,TaxType
termination.condition,Kündigung Voraussetzung,Termination Condition
ticket.category,Kategorie,Ticket Category
ticket.status,Ticketstatus,Ticket Status
tipp.access.status,TIPP Access Status,TIPP Access Status
tipp.access.type,Zugangstyp,TIPP Access Type
tipp.delayed.oa,TitleInstancePackagePlatform.DelayedOA,TitleInstancePackagePlatform.DelayedOA
tipp.hybrid.oa,TitleInstancePackagePlatform.HybridOA,TitleInstancePackagePlatform.HybridOA
tipp.status,TIPP Status,TIPP Status
tipp.status.reason,Tipp.StatusReason,Tipp.StatusReason
title.status,TitleInstanceStatus,TitleInstanceStatus
title.medium,Title Medium,Title Medium
title.type,Title Type,Title Type
user.setting.dashboard.tab,Dashbord Tab,Dashboard Tab
user.setting.theme,Theme,Theme
vendor.status,Library Supplier-Status,Library Supplier Status
vendor.ordering.supported.library.system,Unterstützte Bibliothekssysteme,Supported Library Systems
vendor.ordering.electronic.delivery.delay,elektronischer Benachrichtigungskanal,Electronic notification channel
vendor.invoicing.format,Elektronisches Rechnungsformat,Electronic invoice format
vendor.invoicing.dispatch,Rechnungsübermittlungsweg,Invoice dispatch
workflow.task.priority,Priorität,Priority
workflow.task.status,Status,Status
workflow.workflow.status,Status,Status
workflow.workflow.target.role,Verfügbar für folgende Nutzer,Usable by customer type
workflow.workflow.target.type,Verfügbar für folgende Objekte,Usable for object type
y.n,Ja/Nein,Yes/No
y.n.l,Ja/Nein/Eingeschränkt/Keine Angaben,Yes/No/limited/no statement
y.n.o,Ja/Nein/Anderes,Yes/No/Others
y.n.p,Ja/Nein/Teilweise,Yes/No/Partly
y.n.r,Ja/Nein/Eingeschränkt/Keine Angaben/Nicht relevant,Yes/No/limited/no statement/not relevant
y.n.u,Ja/Nein/Unbekannt,Yes/No/Unknown
